name,address,city,latitude,longitude,,
Khe Sanh,,Khe Sanh,16.6193,106.7323,,"Khe Sanh,,Khe Sanh,16.6272106,106.7373352,""Khe Sanh, Vietnam"",,Bing Maps,city/town"
Đông Hà,,Dong Ha,16.8089,107.0894,,"Đông Hà,,Dong Ha,16.8234406,107.1000519,""Dong Ha, Vietnam"",,Bing Maps,city/town"
Da Nang,,Da Nang,16.0544,108.2022,,"Da Nang,,Da Nang,16.0479698,108.2107086,""Đà Nang, Vietnam"",,Bing Maps,city/town"
Da Nang,,Da Nang,16.0544,108.2022,,"Da Nang,,Da Nang,16.0479698,108.2107086,""Đà Nang, Vietnam"",,Bing Maps,city/town"
Da Nang,,Da Nang,16.0544,108.2022,,"Da Nang,,Da Nang,16.0479698,108.2107086,""Đà Nang, Vietnam"",,Bing Maps,city/town"
Đông Hà,,Dong Ha,16.8089,107.0894,,"Đông Hà,,Dong Ha,16.8234406,107.1000519,""Dong Ha, Vietnam"",,Bing Maps,city/town"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Okinawa,,,26.1202,127.7025,,"Okinawa,,,,,-,,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
"Newport, Rhode Island",,"Newport, RI",41.4901,71.3128,,"Newport, Rhode Island,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Nahant,,"Nahant, MA",42.4266,70.9223,,"Nahant,,""Nahant, MA"",,,""Nahant, MA"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
"Dorchester, Massachusetts",,"Dorchester, MA",42.3016,71.0676,,"Dorchester, Massachusetts,,""Dorchester, MA"",,,""Dorchester, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
Boston,,"Boston, MA",42.3601,71.0589,,"Boston,,""Boston, MA"",,,""Boston, MA"",,Bing Maps,"
"Fredericksburg, Virginia",,"Fredericksburg, VA",38.3032,77.4605,,"Fredericksburg, Virginia,,""Fredericksburg, VA"",,,""Fredericksburg, VA"",,Bing Maps,"
Vietnam,,,14.0583,108.7227,,"Vietnam,,,,,-,,"
Newport,,"Newport, RI",41.4901,71.3128,,"Newport,,""Newport, RI"",,,""Newport, RI"",,Bing Maps,"
